AppID,Nombre,Fecha_Lanzamiento,Géneros,Desarrollador
346110,ARK: Survival Evolved,"27 Aug, 2017","Action, Adventure, Indie, Massively Multiplayer, RPG","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC"
108600,Project Zomboid,"8 Nov, 2013","Indie, RPG, Simulation, Early Access",The Indie Stone
2050650,Resident Evil 4,"23 Mar, 2023","Action, Adventure","CAPCOM Co., Ltd."
1938090,Call of Duty®,"27 Oct, 2022",Action,"Treyarch, Raven Software, Beenox, High Moon Studios, Sledgehammer Games, Infinity Ward, Activision Shanghai, Demonware"
4000,Garry's Mod,"29 Nov, 2006","Casual, Indie, Simulation",Facepunch Studios
251570,7 Days to Die,"25 Jul, 2024","Action, Adventure, Indie, RPG, Simulation, Strategy",The Fun Pimps
1222670,The Sims™ 4,"18 Jun, 2020","Adventure, Casual, Simulation, Free To Play",Maxis
4205000,BidKing Demo,"23 Feb, 2026","Casual, Indie, Massively Multiplayer, Simulation, Sports, Strategy",MindSurge Network & Games
766570,Russian Fishing 4,"10 Nov, 2021","Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Free To Play",FishSoft LLC
1142710,Total War: WARHAMMER III,"16 Feb, 2022","Action, Strategy","CREATIVE ASSEMBLY, Feral Interactive"
489830,The Elder Scrolls V: Skyrim Special Edition,"Oct 27, 2016",RPG,Bethesda Game Studios
240,Counter-Strike: Source,"1 Nov, 2004",Action,Valve
1771300,Kingdom Come: Deliverance II,"4 Feb, 2025","Action, Adventure, RPG",Warhorse Studios
250900,The Binding of Isaac: Rebirth,"4 Nov, 2014",Action,"Nicalis, Inc., Edmund McMillen"
1449850,Yu-Gi-Oh! Master Duel,"18 Jan, 2022","Simulation, Strategy, Free To Play",KONAMI
2073620,Arena Breakout: Infinite,"15 Sep, 2025","Action, Adventure, Massively Multiplayer, RPG, Strategy, Free To Play",Morefun Studios
892970,Valheim,"2 Feb, 2021","Action, Adventure, Indie, RPG, Early Access",Iron Gate AB
2183900,"Warhammer 40,000: Space Marine 2","9 Sep, 2024","Action, Adventure, RPG",Saber Interactive
1158310,Crusader Kings III,"1 Sep, 2020","RPG, Simulation, Strategy",Paradox Development Studio
2300320,Farming Simulator 25,"12 Nov, 2024",Simulation,GIANTS Software
526870,Satisfactory,"10 Sep, 2024","Adventure, Indie, Simulation, Strategy",Coffee Stain Studios
594650,Hunt: Showdown 1896,"27 Aug, 2019",Action,Crytek
284160,BeamNG.drive,"29 May, 2015","Racing, Simulation, Early Access",BeamNG
2252570,Football Manager 2024,"6 Nov, 2023","Simulation, Sports, Strategy",Sports Interactive
2358720,Black Myth: Wukong,"19 Aug, 2024","Action, Adventure, RPG",Game Science
377160,Fallout 4,"9 Nov, 2015",RPG,Bethesda Game Studios
393380,Squad,"23 Sep, 2020","Action, Indie, Massively Multiplayer, Strategy",Offworld
1476970,IdleOn,"6 Nov, 2025","Casual, Indie, Massively Multiplayer, RPG, Simulation, Free To Play",Lavaflame2
629520,Soundpad,"30 Sep, 2017","Audio Production, Utilities",Leppsoft
427520,Factorio,"14 Aug, 2020","Casual, Indie, Simulation, Strategy",Wube Software LTD.
3932890,Escape from Tarkov,"15 Nov, 2025","Action, Massively Multiplayer, RPG, Simulation",Battlestate Games
3527290,PEAK,"16 Jun, 2025","Action, Adventure, Indie",Team PEAK
218620,PAYDAY 2,"13 Aug, 2013","Action, RPG",OVERKILL - a Starbreeze Studio.
813780,Age of Empires II: Definitive Edition,"14 Nov, 2019",Strategy,"World's Edge, Forgotten Empires, CaptureAge, Tantalus Media, Wicked Witch"
2139460,Once Human,"9 Jul, 2024","Action, Adventure, RPG, Simulation, Strategy, Free To Play",Starry Studio
