AppID,Nombre,Fecha_Lanzamiento,Géneros,Desarrollador
594650,Hunt: Showdown 1896,"27 Aug, 2019",Action,Crytek
1938090,Call of Duty®,"27 Oct, 2022",Action,"Treyarch, Raven Software, Beenox, High Moon Studios, Sledgehammer Games, Infinity Ward, Activision Shanghai, Demonware"
582010,Monster Hunter: World,"8 Aug, 2018",Action,"CAPCOM Co., Ltd."
3241660,R.E.P.O.,"26 Feb, 2025","Action, Early Access",semiwork
2622380,ELDEN RING NIGHTREIGN,"29 May, 2025","Action, RPG","FromSoftware, Inc."
3527290,PEAK,"16 Jun, 2025","Action, Adventure, Indie",Team PEAK
4000,Garry's Mod,"29 Nov, 2006","Casual, Indie, Simulation",Facepunch Studios
550,Left 4 Dead 2,"16 Nov, 2009",Action,Valve
2483190,Forza Horizon 6,"18 May, 2026","Racing, Simulation, Sports",Playground Games
1665460,eFootball™,"29 Sep, 2021","Simulation, Sports, Free To Play",KONAMI
1222670,The Sims™ 4,"18 Jun, 2020","Adventure, Casual, Simulation, Free To Play",Maxis
2139460,Once Human,"9 Jul, 2024","Action, Adventure, Casual, Massively Multiplayer, Racing, RPG, Simulation, Strategy, Free To Play",Starry Studio
2358720,Black Myth: Wukong,"19 Aug, 2024","Action, Adventure, RPG",Game Science
3321460,Crimson Desert Enhanced,"19 Mar, 2026","Action, Adventure",Pearl Abyss
489830,The Elder Scrolls V: Skyrim Special Edition,"27 Oct, 2016",RPG,Bethesda Game Studios
2399830,ARK: Survival Ascended,"25 Oct, 2023","Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access","Studio Wildcard, Grove Street Games, Instinct Games"
376210,The Isle,"1 Dec, 2015","Action, Adventure, Indie, Massively Multiplayer, Simulation, Early Access",Afterthought LLC
284160,BeamNG.drive,"29 May, 2015","Racing, Simulation, Early Access",BeamNG
5075680,Graveyard Keeper 2 Demo,"14 Sep, 2026","Adventure, RPG, Simulation",Lazy Bear Games
1158310,Crusader Kings III,"1 Sep, 2020","RPG, Simulation, Strategy",Paradox Development Studio
813780,Age of Empires II: Definitive Edition,"14 Nov, 2019",Strategy,"World's Edge, Forgotten Empires, CaptureAge, Tantalus Media, Wicked Witch, Feral Interactive"
582660,Black Desert,"24 May, 2017","Action, Adventure, Massively Multiplayer, RPG, Strategy",Pearl Abyss
1049590,Eternal Return,"19 Jul, 2023",,Nimble Neuron
766570,Russian Fishing 4,"10 Nov, 2021","Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Free To Play",FishSoft LLC
1449850,Yu-Gi-Oh! Master Duel,"18 Jan, 2022","Simulation, Strategy, Free To Play",KONAMI
4356430,NBA 2K27,"3 Sep, 2026",Sports,Visual Concepts
218620,PAYDAY 2,"13 Aug, 2013","Action, RPG","OVERKILL - a Starbreeze Studio., Sidetrack Games"
39210,FINAL FANTASY XIV Online,"18 Feb, 2014","Massively Multiplayer, RPG",Square Enix
2252570,Football Manager 2024,"6 Nov, 2023","Simulation, Sports, Strategy",Sports Interactive
427520,Factorio,"14 Aug, 2020","Casual, Indie, Simulation, Strategy",Wube Software LTD.
2183900,"Warhammer 40,000: Space Marine 2","9 Sep, 2024","Action, Adventure, RPG",Saber Interactive
252950,Rocket League®,"6 Jul, 2015","Action, Indie, Racing, Sports",Psyonix LLC
629520,Soundpad,"30 Sep, 2017","Audio Production, Utilities",Leppsoft
4080220,EA SPORTS FC™ 27,"24 Sep, 2026","Simulation, Sports","EA CANADA, EA Romania"
4225980,Trails in the Sky 2nd Chapter,"16 Sep, 2026","Action, Adventure, RPG",Nihon Falcom
2402680,Dimraeth,"15 Sep, 2026","Action, Adventure, RPG, Early Access",Mudtek
3008130,Dying Light: The Beast,"18 Sep, 2025","Action, Adventure, RPG",Techland
3407390,ENDLESS Legend™ 2,"17 Sep, 2026","RPG, Simulation, Strategy",AMPLITUDE Studios
